,n,p,k,sigma,lambda,method,time,error,numiters
0,500,1000,500,1,0,AT,1.35972261428833,0.7346219867404524,207
1,500,1000,500,1,0,LLM,1.8045027256011963,0.734622030180194,208
2,500,1000,500,1,76.30329680664137,AT,3.03733229637146,0.8991344407848497,464
3,500,1000,500,1,76.30329680664137,LLM,5.014132261276245,0.9095391059639503,498
4,500,1000,500,1,0,AT,2.0202908515930176,0.6946347268659046,204
5,500,1000,500,1,0,LLM,1.7552602291107178,0.6946347513187814,202
6,500,1000,500,1,80.33547032174661,AT,2.9617583751678467,0.8796388190380509,461
7,500,1000,500,1,80.33547032174661,LLM,4.735744476318359,0.8922513651634181,476
8,500,1000,500,1,0,AT,1.3499388694763184,0.7419882157434314,201
9,500,1000,500,1,0,LLM,1.6396119594573975,0.7419881810020564,202
10,500,1000,500,1,80.63615330193471,AT,3.9898629188537598,0.9378221970408108,450
11,500,1000,500,1,80.63615330193471,LLM,5.492839336395264,0.9493033600701103,516
12,500,1000,500,1,0,AT,2.084223985671997,0.7080539833933248,204
13,500,1000,500,1,0,LLM,1.8761999607086182,0.7080540407839336,207
14,500,1000,500,1,68.72388335083987,AT,3.8078973293304443,0.9092740887426021,458
15,500,1000,500,1,68.72388335083987,LLM,6.393750190734863,0.9230623546012574,561
16,500,1000,500,1,0,AT,1.3984432220458984,0.6797962024170616,206
17,500,1000,500,1,0,LLM,1.7822532653808594,0.6797956833023205,213
18,500,1000,500,1,73.4023034714871,AT,3.537869453430176,0.8894584435336493,511
19,500,1000,500,1,73.4023034714871,LLM,5.01008415222168,0.9021976013305505,566
20,500,1000,500,1,0,AT,1.479701280593872,0.6813793058768006,199
21,500,1000,500,1,0,LLM,1.6843771934509277,0.6813791092773785,203
22,500,1000,500,1,73.16953386507642,AT,3.2462825775146484,0.8721350235851199,491
23,500,1000,500,1,73.16953386507642,LLM,5.138941526412964,0.8847663360350797,582
24,500,1000,500,1,0,AT,1.235971212387085,0.7332473488932028,195
25,500,1000,500,1,0,LLM,1.5963191986083984,0.733247335824129,203
26,500,1000,500,1,92.9525796176609,AT,2.9080514907836914,0.8910707117162701,460
27,500,1000,500,1,92.9525796176609,LLM,4.0892884731292725,0.9014235288945703,504
28,500,1000,500,1,0,AT,1.407362699508667,0.7222941811652194,209
29,500,1000,500,1,0,LLM,1.7431135177612305,0.7222941934808775,210
