,n,p,k,sigma,lambda,method,time,error,numiters
0,500,1000,800,1,0,AT,1.2348878383636475,0.7066604840139316,206
1,500,1000,800,1,0,LLM,1.5255911350250244,0.7066604907990649,204
2,500,1000,800,1,67.60328554650985,AT,3.55108380317688,0.9318433544225163,585
3,500,1000,800,1,67.60328554650985,LLM,4.971037149429321,0.9429222307454549,640
4,500,1000,800,1,0,AT,1.2859091758728027,0.7250834482755496,209
5,500,1000,800,1,0,LLM,1.6931958198547363,0.7250834511131644,209
6,500,1000,800,1,77.57896709662786,AT,2.826221466064453,0.9194216705107923,465
7,500,1000,800,1,77.57896709662786,LLM,4.255514621734619,0.9322382842618815,518
8,500,1000,800,1,0,AT,1.301919937133789,0.68614853387688,212
9,500,1000,800,1,0,LLM,1.5971264839172363,0.6861485672316966,214
10,500,1000,800,1,68.00823055212716,AT,3.344222068786621,0.9336167101544007,541
11,500,1000,800,1,68.00823055212716,LLM,4.975012540817261,0.9488790012153356,638
12,500,1000,800,1,0,AT,1.2979621887207031,0.710965721001227,190
13,500,1000,800,1,0,LLM,1.5796153545379639,0.7109645967100899,203
14,500,1000,800,1,85.01805900395044,AT,2.898101806640625,0.9335968131718793,468
15,500,1000,800,1,85.01805900395044,LLM,4.680802822113037,0.9470088002034109,575
16,500,1000,800,1,0,AT,1.2844057083129883,0.7206717205523114,206
17,500,1000,800,1,0,LLM,1.4935526847839355,0.7206718130023785,200
18,500,1000,800,1,72.69641696658313,AT,3.0295755863189697,0.9211518065940841,500
19,500,1000,800,1,72.69641696658313,LLM,4.694916725158691,0.9338699620121603,613
20,500,1000,800,1,0,AT,1.2679121494293213,0.7069853406437434,211
21,500,1000,800,1,0,LLM,1.5831294059753418,0.7069854989693779,205
22,500,1000,800,1,74.35312014792663,AT,3.3038344383239746,0.910971494850489,510
23,500,1000,800,1,74.35312014792663,LLM,4.772425889968872,0.9224583705261323,582
24,500,1000,800,1,0,AT,1.2363741397857666,0.7092442146367441,203
25,500,1000,800,1,0,LLM,1.5636038780212402,0.7092442328299476,206
26,500,1000,800,1,77.8608604855008,AT,2.992614269256592,0.9124834116937075,489
27,500,1000,800,1,77.8608604855008,LLM,3.976959705352783,0.9234288201629731,509
